职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
商场营运总监（高端家居卖场）,2.8-3.5万·16薪,佛山·顺德区,5年及以上,本科,广东罗浮宫国际家具博览中心有限公司,租赁服务,民营,500-1000人,五险一金;年终奖金,经营管理;价格管理;产品管理;租金收缴;导购员管理;诚信经营;活动支持;安全管理;团队管理,
项目副总经理（招商营运）-上海保利时光里,2.8-3万,上海·徐汇区,5年及以上,本科,保利商旅产业发展有限公司,酒店/旅游,国企,5000-10000人,五险一金;年终奖金;定期体检;餐饮补贴;通讯补贴;交通补贴;节假日福利;生日福利;补充医疗保险,合同签署;物业,
租赁暨营运经理,20-30万/年,上海·浦东新区,5-7年,本科,基汇管理咨询（上海）有限公司,金融/投资/证券,外资（非欧美）,50-150人,五险一金;补充医疗保险;员工旅游;通讯补贴;专业培训;绩效奖金;年终奖金;出国机会;弹性工作;定期体检,租赁营运,
招商营运副总监/副总经理,2-4万,南通·启东市,6年及以上,本科,新城控股集团股份有限公司,房地产,已上市,10000人以上,意外险;带薪年假;定期体检;餐补;绩效奖金;五险一金;年终奖金;节日福利,服装;大学生;实习证明;就近分配,
营运主管（专员）,4-6千·13薪,武汉,5-7年,大专,武汉海天实业集团有限公司,多元化业务集团公司,民营,500-1000人,高温补贴;节日福利;通讯补贴;年终奖励,工作餐;费用催缴;物业服务;营运管理,
招商营运总监-上海保利时光里,2.4-2.8万,上海·徐汇区,5年及以上,大专,保利商旅产业发展有限公司,酒店/旅游,国企,5000-10000人,五险一金;年终奖金;定期体检;餐饮补贴;通讯补贴;交通补贴;节假日福利;生日福利,招商;招商营运;商业管理,
营运经理,1.5-2万,佛山·南海区,5年及以上,本科,佛山市华之屋恒香食品有限公司,快速消费品(食品、饮料、化妆品),民营,50-150人,培训,办公软件;管理;数据分析;运营;excel;项目管理;ppt;运营管理,市场营销
营运经理,1.5-2万,广州,6年及以上,本科,广东圣约翰服饰股份有限公司,服装/纺织/皮革,民营,150-500人,,运营;运营管理;市场分析;市场拓展;拓展;团队协作;运营效率;产品结构,运营策略 销售流程
营运专员,7千-1.2万·13薪,深圳·南山区,2年及以上,大专,深圳市湾厦泰福资产运营有限公司,房地产,民营,50-150人,五险一金;带薪年假,商业营运;租户管理;商场;购物中心,
购物中心营运专员/主管,9-12万/年,杭州·拱墅区,1-3年,大专,杭州联华华商集团有限公司,批发/零售,国企,10000人以上,五险一金,运营管理;数据分析;关系维护;进场;环境清洁;现场运营;管理规定;现场巡场,销售数据 市场推广
商场营运总监（高端家居卖场）,2.8-3.5万·16薪,佛山·顺德区,5年及以上,本科,广东罗浮宫国际家具博览中心有限公司,租赁服务,民营,500-1000人,五险一金;年终奖金,经营管理;价格管理;产品管理;租金收缴;导购员管理;诚信经营;活动支持;安全管理;团队管理,
营运策划总监（旧改项目）,2-3万,广州·白云区,8年及以上,本科,广州胡刘氏物业管理有限公司,物业管理/商业中心,民营,150-500人,五险一金;绩效奖金;专业培训;带薪年假;节日福利;周末双休;培训,旧改;招商策略;运营体系;定期团建,
商业营运岗,10-15万/年,深圳,2年及以上,本科,深圳市百硕城市运营服务有限公司,物业管理/商业中心,国企,150-500人,培训;五险一金;定期体检,数据分析;项目管理;团队管理;顾客服务;服务管理;商户管理;巡场;运营报告,市场营销
营运高级专员,4.5-5千·14薪,随州·曾都区,无需经验,本科,新城控股集团股份有限公司,房地产,已上市,10000人以上,五险一金;通讯补贴;年终奖金;专业培训,商业运营,
营运专员-佛山大良保利广场,5-6千,佛山·顺德区,1年及以上,本科,保利商旅产业发展有限公司,酒店/旅游,国企,5000-10000人,五险一金;年终奖金,管理;财务软件;洽谈;工商管理;投诉处理;报修;广告设计;新闻传播,市场营销 销售数据
营运主管（美食广场、商业体内、高额餐卡）,5.2-8千,西安,无需经验,大专,武汉华力商业管理有限公司,餐饮业,民营,1000-5000人,人员培训;社保管理;社保;培训,管理;谈判;招商;人员招聘;经营管理;餐饮行业;食品安全;经营指标;单休,
营运经理- 上海 (MJ003409),20-30万/年,上海·徐汇区,5年及以上,大专,皮氏咖啡（上海）有限公司,餐饮业,外资（欧美）,1000-5000人,培训,连锁经营;营运管理;餐饮服务;营运;团队建设,
营运助理,5-6千·15薪,上海·金山区,1年,大专,上海金山万达广场商业管理有限公司,物业管理/商业中心,民营,50-150人,五险一金;年终奖金;定期体检;节日福利;专业培训;带薪年假,楼管;楼层管理;营运助理;文员;招商;租赁,
营运总监,2.5-3万·13薪,上海·浦东新区,8年及以上,大专,上海勤泽美业环境技术服务有限公司,物业管理/商业中心,民营,5000-10000人,节日福利;专业培训;绩效奖金;定期体检,,
电商分销运营,6-8千,上海·闵行区,1年及以上,大专,中兴投资（中国）有限公司,服装/纺织/皮革,外资（非欧美）,150-500人,五险一金;年终奖金,数据分析;物流;售后;电子商务;抖音;直播;供应商沟通;表格制作;商品上架,市场营销
营运主管（生鲜/标品）,5-8千,昆明·西山区,3年及以上,大专,昇菘（中国）超市有限公司,批发/零售,合资,150-500人,五险一金;餐饮补贴;出国机会;定期体检;年终奖金,运营;卖场运营;库存损耗,
营运流程标准专家,1.8-2.5万,广州,5年及以上,大专,广东包道美食（集团）有限公司,餐饮业,民营,1000-5000人,五险一金;双休;员工旅游;定期体检,数据分析;sop;项目管理;营运管理;区域管理;营运支持;营运流程;营运标准,
