职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
产品经理（工程机械-合肥）,8千-1.6万·13薪,合肥,3-5年,本科,深圳麦格米特电气股份有限公司,电子技术/半导体/集成电路,已上市,5000-10000人,五险一金,数据分析;机械;需求分析;市场分析;产品推广;市场动态;工程机械;客户分析,客户关系 产品规划
电动工具产品经理,1.5-2.2万·14薪,杭州·上城区,5年及以上,本科,杭州巨星科技股份有限公司,机械/设备/重工,已上市,5000-10000人,五险一金;餐饮补贴;年终奖金,测试;机械;项目管理;团队管理;产品开发;机电;技术管理;商务;竞品分析,
产品医学经理,2-2.5万·14薪,广州·黄埔区,5年及以上,硕士,广东子健创和医药生物科技有限公司,医疗/护理/卫生,民营,50-150人,五险一金;年终奖金;绩效奖金;定期体检;餐饮补贴;员工旅游;带薪年假;节日福利;弹性工作;周末双休;补充医疗保险,,
产品经理,1-2万,广州·南沙区,3年及以上,本科,纯元健康科技（广东）有限公司,快速消费品(食品、饮料、化妆品),民营,150-500人,,大健康行业;保健食品行业;食品代加工;产品生命周期;特膳食品行业;B端客户产品;收集分析客户;产品熟悉推品,
AI应用产品高级工程师 (MJ000670),2-4万,深圳·宝安区,3年及以上,本科,深圳市大族数控科技股份有限公司,机械/设备/重工,已上市,1000-5000人,五险一金;定期体检;年终奖金;员工宿舍;股票期权,agent;prompt;设计;供应链;通勤班车;人才公寓;专属停车场,
食品产品经理,8千-1.2万,大连·高新园区,3年及以上,本科,你好生活（大连）食品有限公司,快速消费品(食品、饮料、化妆品),民营,未知,五险一金;绩效奖金;专业培训;节日福利;弹性工作;周末双休,,
产品经理（小程序、APP）,1.3-2万·13薪,重庆·渝北区,3年及以上,大专,重庆啄木鸟网络科技有限公司,互联网/电子商务,民营,1000-5000人,五险;员工旅游;绩效奖金;包住宿;节日福利;培训,数据分析;app;h5;用户运营;用户调研;竞品调研;c端产品,
销售技术顾问（AGV产品方向）,1-1.5万,佛山·顺德区,3年及以上,本科,广东嘉腾机器人自动化有限公司,机械/设备/重工,民营,500-1000人,五险一金;专业培训;定期体检;带薪年假;节日福利;免费班车;培训;技术培训,分析报告;线上授课;agv;产品迭代,
数据产品经理（上市企业）,2-3万,福州,2年及以上,本科,猎创企聘（四川）科技有限公司,贸易/进出口,民营,未知,,上市企业,
云产品支撑经理（国企）,8-12万/年,吉安·青原区,3-5年,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,技术交流;阿里云;腾讯云;行业解决方案;技术方案;电子信息;云计算,
产品开发经理,1.3-2万,广州·天河区,1-2年,大专,广州东芳味来科技有限公司,快速消费品(食品、饮料、化妆品),合资,未知,五险一金;年终奖金,测试;项目管理;产品开发;生产工艺;调研;控制成本;产品定位;食品工程;产品策划;项目统筹,
电池产品技术经理,1.2-1.5万,南京,5年及以上,硕士,爱尔集新能源（中国）有限公司,新能源,外资（非欧美）,10000人以上,五险一金;补充医疗保险;带薪年假;专业培训;定期体检;免费班车,产品策略;解读客户需求;主导产品开发;定期团建,
25届产品经理岗,4-5千,北京·西城区,无需经验,硕士,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,,excel;ppt;office;产品设计;axure;互联网;产品文档;产品说明;产品流程设计,
产品应用工程师,8千-1.2万,佛山,1-5年,本科,广东星光传动股份有限公司,机械/设备/重工,民营,150-500人,培训;五险;带薪年假,机械;物流;技术交流;变频器;售前技术支持;锂电;产品改善;食品包装;产品试样,
加热产品研发工程师,1-1.5万,东莞·道滘镇,3年及以上,,东莞市鹏威能源科技有限公司,新能源,民营,50-150人,节日福利;带薪年假;五险;包吃包住;专业培训,汽车座椅;热能;加热;石墨烯;全勤奖,
显示产品项目工程师Display Product Project Engineer,8千-1.6万·13薪,深圳·南山区,3-4年,本科,"莱茵技术监护（深圳）有限公司 TUV Rheinland (Shenzhen) Co., Ltd.",检测，认证,外资（欧美）,500-1000人,,AVIT认证,
产品系统设计工程师,1-2万·13薪,南京·经济技术开发区,3年及以上,本科,江苏福拉特半导体设备有限公司,电子技术/半导体/集成电路,民营,50-150人,五险一金,调试;团队管理;机械设计;半导体行业;项目设计;流体力学;设备开发;工艺评估;显示行业;系统设计,
PD工程师（产品开发）,1.7-2.3万,深圳·龙岗区,5年及以上,大专,深圳市仁禾智能实业有限公司,原材料和加工,民营,1000-5000人,五险一金;餐饮补贴;年终奖金;节假日福利,开发;英语;机械设计;solidworks;ug;材料;绘图软件;提供住宿,
试验工程师（转向产品）,1.5-2.5万,上海·嘉定区,2年及以上,本科,上海同驭汽车科技有限公司,汽车零配件,民营,150-500人,高额年终奖;带薪年假;培训晋升;五险一金;节日福利,产品试验验证;团建旅游;员工体检,
产品应用工程师,5千-1万,常州·新北区,无需经验,本科,安翼陶基复合材料（常州）有限公司,原材料和加工,民营,少于50人,五险一金;带薪年假,cad;自动化;材料;英语四级;开车;技术支持;机械;免费工作餐,
产品结构工程师,8千-1.2万,重庆·铜梁区,3年及以上,大专,重庆市威诺华光电科技有限公司,电子技术/半导体/集成电路,民营,500-1000人,,,
产品结构设计工程师,1.2-1.5万,昆山,3年及以上,大专,嵘亚医疗科技（苏州）有限公司,医疗设备/器械,民营,少于50人,五险一金;带薪年假;绩效奖金;专业培训;定期体检;零食下午茶;有餐补,免费工作餐,
