职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
数据分析工程师,7千-1万,深圳·宝安区,1-2年,大专,深圳市逊福贸易有限公司,贸易/进出口,民营,未知,绩效奖金;定期体检,计算机;数据分析;sql;数学;建模;数据采集;数据可视化;数据监控;业务决策;数据处理,
数据分析员/五险双休,7.6-9.8千·13薪,赣州·章贡区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师,7-9千,呼和浩特,无需经验,大专,内蒙古朝正机械设备有限公司,计算机软件,民营,未知,五险一金;周末双休,数据分析;excel;报表;机器学习;数据挖掘;bi;数字化转型;技术创新;数据指标;决策支持,
数据分析师,7千-1.1万·13薪,天津·南开区,1年及以上,本科,北京智链元芯科技有限公司,电子技术/半导体/集成电路,民营,150-500人,,计算机;数据分析;excel;sql;经济;数学;数据收集;数据支持;产品优化;数据洞察,
数据分析师,1-1.5万,郑州,无需经验,本科,上海狩利信息科技有限公司,计算机软件,民营,未知,五险一金;绩效奖金,数据分析;excel;sql;mysql数据库;数据可视化;计算机科学;数据建模;tableau;sas;应用数学,
数据分析员/五险双休,7.6-9.8千·13薪,上海·黄浦区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析员/五险双休,7.6-9.8千·13薪,苏州·姑苏区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师,8千-1.3万·14薪,贵阳·观山湖区,无需经验,本科,贵州瀚溯信息咨询服务有限公司,通信/电信/网络设备,民营,未知,五险一金;员工旅游;交通补贴;餐饮补贴;通讯补贴;专业培训;绩效奖金;年终奖金,数据库;数据提取;数据处理,
数据分析师（双休）,9千-1.2万·13薪,杭州·拱墅区,1年及以上,大专,蓝象供应链管理（天津）有限公司,外包服务,民营,50-150人,双休;五险一金;带薪年假;带薪病假;年终奖金;绩效奖金;项目奖金,数据分析;数据支持;数据挖掘;数据处理,
数据分析师,1.1-1.5万,天津,1年及以上,本科,石家庄迈众人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据收集;数据可视化;数据模型;策略制定;业务规划,
数据分析员/五险双休,7.6-9.8千·13薪,金华·金东区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师,7千-1万,长沙·岳麓区,无需经验,大专,上海柏巨电子科技有限公司,电子技术/半导体/集成电路,民营,未知,培训;五险一金,excel;大数据;指导,销售 管理销售团队 销售制度 销售对策 销售资源分解 管理销售目标
数据分析师（初级/中级）,7千-1.4万·14薪,无锡·梁溪区,1年,本科,无锡新恩拓机械有限公司,电子技术/半导体/集成电路,民营,150-500人,五险一金;补充医疗保险,计算机;数据分析;电子;excel;sql;自动化;数学;数据收集;人工智能;数据支持,
助理数据分析师,5-7千,杭州·拱墅区,1年,本科,杭州盛锋企业管理咨询有限公司,政府/公共事业,民营,50-150人,五险一金;绩效奖金,计算机;办公软件;数据分析;excel;sql;word;ppt;数学;统计;bi;职业发展;发展空间,
数据分析员/五险双休,7.6-9.8千·13薪,哈尔滨·道里区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师,1-1.5万,合肥·蜀山区,无需经验,本科,上海洁仕堡科技有限公司,批发/零售,民营,未知,五险一金;绩效奖金;年终奖金,计算机;数据分析;sql;数学;建模;数据收集;数据挖掘;spss;sas;数理统计,
数据分析师,1.1-1.5万,广州,1年及以上,本科,石家庄迈众人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据收集;数据可视化;数据模型;策略制定;业务规划,
数据分析师,7千-1.2万·13薪,上海,1-2年,大专,北京京铭宏硕科技有限公司,计算机软件,民营,150-500人,五险一金;补充医疗保险;通讯补贴;餐饮补贴;交通补贴,计算机;办公软件;excel;运筹学;标注;应用数学;统计学,
数据分析员/五险双休,7.6-9.8千·13薪,兰州·七里河区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师,7-9千,呼和浩特,无需经验,大专,内蒙古朝正机械设备有限公司,计算机软件,民营,未知,五险一金,数据统计;统计分析;数据分析报告;数据建设;数据库;数据分析;数学;用户数据分析;统计;计算机,
数据分析师,1.1-1.5万,杭州,1年及以上,本科,石家庄迈众人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据收集;数据可视化;数据模型;策略制定;业务规划,
数据分析专员,6-9千,厦门·集美区,无需经验,大专,深圳市东腾风科技有限公司,电子技术/半导体/集成电路,民营,50-150人,双休;五险一金;五险,数据分析;理工;数据支持;数据清洗;数据;跨部门合作;市场趋势分析;客户行为分析;可转正,
数据分析员/五险双休,7.6-9.8千·13薪,南昌·东湖区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师,6-8千·13薪,郑州·中原区,无需经验,,河南塔韵文化传媒有限公司,影视/媒体/艺术/文化传播,民营,150-500人,周末双休,分析报告;数据挖掘;数据清洗;数据治理;数据建模;商业分析;数据提取;运营分析;用户分析;运营分析报告,
数据分析师,1-1.5万,武汉·武昌区,无需经验,本科,上海洁仕堡科技有限公司,批发/零售,民营,未知,五险一金;绩效奖金;年终奖金,计算机;数据分析;sql;数学;建模;数据收集;数据挖掘;spss;sas;数理统计,
数据分析师,1.1-1.5万,西安,1年及以上,本科,石家庄迈众人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据收集;数据可视化;数据模型;策略制定;业务规划,
数据分析员/五险双休,7.6-9.8千·13薪,贵阳·南明区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
商业与数据分析师,9-9.5千,中山·大涌镇,1年及以上,本科,中山华泰工艺制品有限公司,奢侈品/收藏品/工艺品/珠宝,外资（非欧美）,500-1000人,培训,数据分析;excel;英语;数学;系统测试;人工智能;中文;tableau;powerbi,
数据分析师,1-1.5万,重庆·渝北区,无需经验,本科,上海洁仕堡科技有限公司,批发/零售,民营,未知,五险一金;绩效奖金;年终奖金,计算机;数据分析;sql;数学;建模;数据收集;数据挖掘;spss;sas;数理统计,
数据分析师,1.1-1.5万,北京,1年及以上,本科,石家庄迈众人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据收集;数据可视化;数据模型;策略制定;业务规划,
数据分析员/五险双休,7.6-9.8千·13薪,嘉兴·南湖区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析,6-8千·13薪,成都·成华区,无需经验,大专,成都至诚云连通信科技有限公司,通信/电信/网络设备,民营,未知,,数据库;团队管理;分析报告;商务支持;返利核算,
数据分析师（双休）,1-1.2万·13薪,北京,1年及以上,大专,蓝象供应链管理（天津）有限公司,外包服务,民营,50-150人,双休;五险一金;带薪年假;带薪病假;年终奖金;绩效奖金;项目奖金,数据分析;数据支持;数据挖掘;数据处理,
数据分析师,8千-1万,东莞,无需经验,大专,上海柏巨电子科技有限公司,电子技术/半导体/集成电路,民营,未知,五险一金;绩效奖金;年终奖金;定期体检,excel;大数据;考核,管理销售团队 销售制度 销售对策 管理销售目标
数据分析员/五险双休,7.6-9.8千·13薪,烟台·芝罘区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师,8.5千-1万,长沙·芙蓉区,无需经验,本科,长沙水谌运输服务有限公司,交通/运输/物流,民营,少于50人,五险一金;绩效奖金;年终奖金,计算机;数据分析;excel;sql;经济;数学;数据支持;数据;数据模型;业务策略制定,
数据分析师,6-8千,北京·丰台区,1年,大专,太原市砾享科技有限公司,教育/培训/院校,民营,未知,交通补贴,计算机;数据分析;sql;经济;数学;产品优化;数据处理分析;数据分析模型;市场策略制定;数据平台建设,
